age_range,case,distribution,gender
< 2,221772,Group 1,Male
2-4,227251,Group 1,Male
5-11,711252,Group 1,Male
12-17,452679,Group 1,Male
18-49,2290862,Group 1,Male
50-65,524444,Group 1,Male
> 65,232751,Group 1,Male
< 2,221708,Group 1,Female
2-4,191758,Group 1,Female
5-11,598861,Group 1,Female
12-17,425690,Group 1,Female
18-49,3107956,Group 1,Female
50-65,758685,Group 1,Female
> 65,350604,Group 1,Female
0-9,923604,Group 3,Male
10-19,814529,Group 3,Male
20-29,693162,Group 3,Male
30-39,924352,Group 3,Male
40-49,548169,Group 3,Male
50-59,358617,Group 3,Male
60-69,243315,Group 3,Male
70-79,101422,Group 3,Male
>= 80,53841,Group 3,Male
0-9,814861,Group 3,Female
10-19,760735,Group 3,Female
20-29,900458,Group 3,Female
30-39,1294575,Group 3,Female
40-49,775344,Group 3,Female
50-59,512516,Group 3,Female
60-69,357839,Group 3,Female
70-79,149690,Group 3,Female
>= 80,89244,Group 3,Female
< 12,1160275,Group 3,Male
12-17,452679,Group 3,Male
18-24,411294,Group 3,Male
25-39,1331399,Group 3,Male
40-49,548169,Group 3,Male
50-64,499205,Group 3,Male
65-74,167006,Group 3,Male
> 74,90984,Group 3,Male
< 12,1012327,Group 3,Female
12-17,425690,Group 3,Female
18-24,493946,Group 3,Female
25-39,1838666,Group 3,Female
40-49,775344,Group 3,Female
50-64,723257,Group 3,Female
65-74,243394,Group 3,Female
> 74,142638,Group 3,Female
