age_range,case,distribution,gender
< 2,219636,Group 1,Male
2-4,226659,Group 1,Male
5-11,710340,Group 1,Male
12-17,452014,Group 1,Male
18-49,2282355,Group 1,Male
50-65,521127,Group 1,Male
> 65,229246,Group 1,Male
< 2,220085,Group 1,Female
2-4,191303,Group 1,Female
5-11,598161,Group 1,Female
12-17,424985,Group 1,Female
18-49,3095270,Group 1,Female
50-65,754366,Group 1,Female
> 65,346380,Group 1,Female
0-9,920276,Group 3,Male
10-19,813319,Group 3,Male
20-29,690781,Group 3,Male
30-39,920816,Group 3,Male
40-49,545812,Group 3,Male
50-59,356517,Group 3,Male
60-69,241389,Group 3,Male
70-79,99956,Group 3,Male
>= 80,52511,Group 3,Male
0-9,812318,Group 3,Female
10-19,759492,Group 3,Female
20-29,896403,Group 3,Female
30-39,1289457,Group 3,Female
40-49,772134,Group 3,Female
50-59,509763,Group 3,Female
60-69,355317,Group 3,Female
70-79,147893,Group 3,Female
>= 80,87773,Group 3,Female
< 12,1156635,Group 3,Male
12-17,452014,Group 3,Male
18-24,410217,Group 3,Male
25-39,1326326,Group 3,Male
40-49,545812,Group 3,Male
50-64,496102,Group 3,Male
65-74,165266,Group 3,Male
> 74,89005,Group 3,Male
< 12,1009549,Group 3,Female
12-17,424985,Group 3,Female
18-24,492227,Group 3,Female
25-39,1830909,Group 3,Female
40-49,772134,Group 3,Female
50-64,719171,Group 3,Female
65-74,241116,Group 3,Female
> 74,140459,Group 3,Female
