age_range,case,distribution,gender
< 2,200774,Group 1,Male
2-4,206981,Group 1,Male
5-11,646977,Group 1,Male
12-17,419000,Group 1,Male
18-49,2129034,Group 1,Male
50-65,477881,Group 1,Male
> 65,203412,Group 1,Male
< 2,200458,Group 1,Female
2-4,175001,Group 1,Female
5-11,544358,Group 1,Female
12-17,393784,Group 1,Female
18-49,2860671,Group 1,Female
50-65,691502,Group 1,Female
> 65,312252,Group 1,Female
0-9,838958,Group 3,Male
10-19,753043,Group 3,Male
20-29,651427,Group 3,Male
30-39,855072,Group 3,Male
40-49,504266,Group 3,Male
50-59,328127,Group 3,Male
60-69,218882,Group 3,Male
70-79,88405,Group 3,Male
>= 80,45879,Group 3,Male
0-9,739847,Group 3,Female
10-19,703313,Group 3,Female
20-29,835561,Group 3,Female
30-39,1186420,Group 3,Female
40-49,709131,Group 3,Female
50-59,468499,Group 3,Female
60-69,323448,Group 3,Female
70-79,133191,Group 3,Female
>= 80,78616,Group 3,Female
< 12,1054732,Group 3,Male
12-17,419000,Group 3,Male
18-24,389129,Group 3,Male
25-39,1235639,Group 3,Male
40-49,504266,Group 3,Male
50-64,455307,Group 3,Male
65-74,147905,Group 3,Male
> 74,78081,Group 3,Male
< 12,919817,Group 3,Female
12-17,393784,Group 3,Female
18-24,463545,Group 3,Female
25-39,1687995,Group 3,Female
40-49,709131,Group 3,Female
50-64,659546,Group 3,Female
65-74,218031,Group 3,Female
> 74,126177,Group 3,Female
