provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1560892,1516840,3077732,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1077038,984495,2061533,1563924,2034410
Bình Dương,2426561,2381252,2566811,2081860,4648671,3550283,4772470
Bình Phước,994679,758594,861390,824862,1686252,1285789,1528060
Bình Thuận,1230808,865494,988027,887002,1875029,1592509,1701850
Bình Định,1486918,1110818,1178999,980006,2159005,1966752,1902530
Bạc Liêu,907236,572580,654595,637444,1292039,1275056,1269690
Bắc Giang,1803950,1267538,1423961,1337964,2761925,2408322,2203610
Bắc Kạn,313905,222390,229385,196180,425565,409198,343170
Bắc Ninh,1368840,985257,1240615,1167041,2407656,1871988,1865510
Bến Tre,1288463,980652,1126076,1084309,2210385,1863239,1882520
Cao Bằng,530341,368973,385815,327956,713771,678910,550460
Cà Mau,1194476,857571,909822,939391,1849213,1629385,1677630
Cần Thơ,1235171,941769,1028571,1275663,2304234,1789361,2132068
Gia Lai,1513847,950154,1112810,895371,2008181,1760170,1795832
Hà Giang,854679,557586,573657,507582,1081239,1145979,1128820
Hà Nam,852800,612219,650776,635299,1286075,1126483,1213520
Hà Nội,8053664,6200000,6879196,6517154,13396350,11376541,12294742
Hà Tĩnh,1288866,795436,909341,820164,1729505,1642572,1220150
Hòa Bình,854131,570146,601253,559296,1160549,1100234,1046120
Hưng Yên,1252731,935528,940419,854411,1794830,1705117,1686572
Hải Dương,1892254,1367571,1409930,1283497,2693427,2598385,2025640
Hải Phòng,1837173,1580000,1789225,1436434,3225659,2857279,2767400
Hậu Giang,733017,536163,604335,571222,1175557,1018710,1190250
Khánh Hòa,1231107,901731,1081057,1026579,2107636,1695222,1886770
Kiên Giang,1723067,1248338,1380426,1294154,2674580,2371842,3001880
Kon Tum,540438,338741,374593,335807,710400,611388,621200
Lai Châu,460196,282600,302591,282871,585462,496261,517840
Long An,1688547,1361733,1667740,1583704,3251444,2397297,2998000
Lào Cai,730420,445164,534451,489023,1023474,856325,933550
Lâm Đồng,1296606,901167,1107507,1054525,2162032,1642299,1952774
Lạng Sơn,781655,558242,562567,541427,1103994,1017262,1117220
Nam Định,1780393,1159000,1279356,1075308,2354664,2341610,1772560
Nghệ An,3327791,1960668,2207907,1925963,4133870,4267816,3900900
Ninh Bình,982487,695394,718360,698998,1417358,1279525,1239970
Ninh Thuận,590467,428346,488510,445871,934381,739091,892660
Phú Thọ,1463726,1029489,1089867,929263,2019130,1894260,1729400
Phú Yên,961152,616333,702810,624745,1327555,1171033,1108954
Quảng Bình,895430,611974,590890,522522,1113412,1135015,978810
Quảng Nam,1495812,1250469,1155111,1035158,2190269,1966932,2149770
Quảng Ngãi,1231697,883502,939772,758778,1698550,1678654,1562604
Quảng Ninh,1320324,1013446,1097294,1033106,2130400,1778123,2121498
Quảng Trị,632375,463442,488315,429168,917483,786243,848182
Sóc Trăng,1199653,861361,1004272,879535,1883807,1636586,2114660
Sơn La,1248415,792702,864067,706958,1571025,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8154218,7334586,15488804,13794299,14637020
Thanh Hóa,3640128,2605729,2876950,2368461,5245411,4794541,3877590
Thái Bình,1860447,1373070,1293010,1208653,2501663,2526449,1893980
Thái Nguyên,1286751,918061,1178619,893145,2071764,1693856,1271330
Thừa Thiên Huế,1128620,779911,886804,826075,1712879,1481288,1616626
Tiền Giang,1764185,1488385,1473852,1411270,2885122,2512418,2974320
Trà Vinh,1009168,734794,872754,655530,1528284,1396109,1353410
Tuyên Quang,784811,535735,555274,513934,1069208,985752,930610
Tây Ninh,1169165,977624,960778,905350,1866128,1658187,2055900
Vĩnh Long,1022791,769026,863595,828586,1692181,1461149,1733130
Vĩnh Phúc,1154154,789896,882539,693459,1575998,1453409,1462250
Yên Bái,821030,510271,583130,558705,1141835,1039328,1034300
Điện Biên,598856,336229,391277,344733,736010,663416,629460
Đà Nẵng,1134310,885070,960818,905694,1866512,1571173,1720782
Đắk Lắk,1869322,1263947,1500706,1194600,2695306,2317760,2100110
Đắk Nông,622168,404872,469265,457771,927036,723091,819420
Đồng Nai,3097107,2384309,2890911,2445390,5336301,4256053,5025430
Đồng Tháp,1599504,1181264,1380432,1280817,2661249,2244402,2705690
