provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1552423,1516495,3068918,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1075201,984495,2059696,1563924,2034410
Bình Dương,2426561,2381252,2566811,2081860,4648671,3550283,4772470
Bình Phước,994679,758594,861088,824862,1685950,1285789,1528060
Bình Thuận,1230808,865494,983000,876004,1859004,1592509,1701850
Bình Định,1486918,1110818,1173792,966495,2140287,1966752,1902530
Bạc Liêu,907236,572580,654467,637095,1291562,1275056,1269690
Bắc Giang,1803950,1267538,1420364,1336423,2756787,2408322,2203610
Bắc Kạn,313905,222390,229385,183957,413342,409198,343170
Bắc Ninh,1368840,985257,1231375,1167041,2398416,1871988,1865510
Bến Tre,1288463,980652,1123761,1084086,2207847,1863239,1882520
Cao Bằng,530341,368973,381584,327502,709086,678910,550460
Cà Mau,1194476,857571,906257,939391,1845648,1629385,1677630
Cần Thơ,1235171,941769,1027460,1267550,2295010,1789361,2132068
Gia Lai,1513847,950154,1107336,888043,1995379,1760170,1795832
Hà Giang,854679,592774,573648,507582,1081230,1145979,1128820
Hà Nam,852800,612219,650188,634880,1285068,1126483,1213520
Hà Nội,8053664,6200000,6856299,6510172,13366471,11376541,12294742
Hà Tĩnh,1288866,795436,909341,820164,1729505,1642572,1220150
Hòa Bình,854131,570146,601253,559296,1160549,1100234,1046120
Hưng Yên,1252731,935528,937148,854411,1791559,1705117,1686572
Hải Dương,1892254,1367571,1406807,1271959,2678766,2598385,2025640
Hải Phòng,1837173,1580000,1789225,1436434,3225659,2857279,2767400
Hậu Giang,733017,536163,603961,571222,1175183,1018710,1190250
Khánh Hòa,1231107,901731,1074020,1026579,2100599,1695222,1886770
Kiên Giang,1723067,1248338,1378248,1254876,2633124,2371842,3001880
Kon Tum,540438,338741,373584,331610,705194,611388,621200
Lai Châu,460196,282600,302550,282861,585411,496261,517840
Long An,1688547,1361733,1663648,1582237,3245885,2397297,2998000
Lào Cai,730420,445164,534222,487923,1022145,856325,933550
Lâm Đồng,1296606,901167,1106408,1048690,2155098,1642299,1952774
Lạng Sơn,781655,558242,561340,540847,1102187,1017262,1117220
Nam Định,1780393,1159000,1235724,1069370,2305094,2341610,1772560
Nghệ An,3327791,1960668,2207907,1925963,4133870,4267816,3900900
Ninh Bình,982487,695394,718360,698998,1417358,1279525,1239970
Ninh Thuận,590467,428346,487999,445284,933283,739091,892660
Phú Thọ,1463726,1029489,1088474,929263,2017737,1894260,1729400
Phú Yên,961152,616333,701600,624745,1326345,1171033,1108954
Quảng Bình,895430,611974,589970,522522,1112492,1135015,978810
Quảng Nam,1495812,1250469,1151513,1014191,2165704,1966932,2149770
Quảng Ngãi,1231697,883502,935668,758778,1694446,1678654,1562604
Quảng Ninh,1320324,1013446,1097294,1033106,2130400,1778123,2121498
Quảng Trị,632375,463442,485431,428979,914410,786243,848182
Sóc Trăng,1199653,861361,1004232,879535,1883767,1636586,2114660
Sơn La,1248415,792702,861783,697520,1559303,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8135352,7327366,15462718,13794299,14637020
Thanh Hóa,3640128,2605729,2871998,2368461,5240459,4794541,3877590
Thái Bình,1860447,1373070,1291842,1208653,2500495,2526449,1893980
Thái Nguyên,1286751,918061,1173435,893145,2066580,1693856,1271330
Thừa Thiên Huế,1128620,779911,885864,818294,1704158,1481288,1616626
Tiền Giang,1764185,1488385,1472436,1410846,2883282,2512418,2974320
Trà Vinh,1009168,734794,872754,655530,1528284,1396109,1353410
Tuyên Quang,784811,535735,554337,513934,1068271,985752,930610
Tây Ninh,1169165,977624,959733,905350,1865083,1658187,2055900
Vĩnh Long,1022791,769026,861093,825954,1687047,1461149,1733130
Vĩnh Phúc,1154154,789896,840560,693459,1534019,1453409,1462250
Yên Bái,821030,510271,583130,558705,1141835,1039328,1034300
Điện Biên,598856,336229,391277,344733,736010,663416,629460
Đà Nẵng,1134310,885070,960260,905350,1865610,1571173,1720782
Đắk Lắk,1869322,1263947,1428747,1183583,2612330,2317760,2100110
Đắk Nông,622168,404872,469017,457713,926730,723091,819420
Đồng Nai,3097107,2384309,2887912,2445390,5333302,4256053,5025430
Đồng Tháp,1599504,1181264,1380432,1280817,2661249,2244402,2705690
