provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1540002,1436420,2976422,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1068330,906066,1974396,1563924,2034410
Bình Dương,2426561,2381252,2521814,1951094,4472908,3550283,4772470
Bình Phước,994679,758594,852139,704916,1557055,1285789,1528060
Bình Thuận,1230808,865494,929062,717649,1646711,1592509,1701850
Bình Định,1486918,1110818,1047401,826690,1874091,1966752,1902530
Bạc Liêu,907236,572580,649480,616065,1265545,1275056,1269690
Bắc Giang,1803950,1267538,1404533,1082356,2486889,2408322,2203610
Bắc Kạn,313905,222390,219199,147171,366370,409198,343170
Bắc Ninh,1368840,985257,1220040,1069594,2289634,1871988,1865510
Bến Tre,1288463,980652,1086779,926775,2013554,1863239,1882520
Cao Bằng,530341,368973,346364,291639,638003,678910,550460
Cà Mau,1194476,857571,861692,867570,1729262,1629385,1677630
Cần Thơ,1235171,941769,1017057,982363,1999420,1789361,2132068
Gia Lai,1513847,956614,986076,595492,1581568,1760170,1795832
Hà Giang,854679,592774,543409,389551,932960,1145979,1128820
Hà Nam,852800,612219,641462,570740,1212202,1126483,1213520
Hà Nội,8053664,6200000,6857570,5903465,12761035,11376541,12294742
Hà Tĩnh,1288866,892702,879835,633253,1513088,1642572,1220150
Hòa Bình,854131,523483,595338,448893,1044231,1100234,1046120
Hưng Yên,1252731,992340,936590,733879,1670469,1705117,1686572
Hải Dương,1892254,1367571,1250198,908799,2158997,2598385,2025640
Hải Phòng,1837173,1580000,1891385,1746528,3637913,2857279,2767400
Hậu Giang,733017,536163,603871,550074,1153945,1018710,1190250
Khánh Hòa,1231107,901731,1062266,991584,2053850,1695222,1886770
Kiên Giang,1723067,1248338,1359576,1122839,2482415,2371842,3001880
Kon Tum,540438,372446,363821,256918,620739,611388,621200
Lai Châu,460196,282600,299833,254288,554121,496261,517840
Long An,1688547,1361733,1640695,1511267,3151962,2397297,2998000
Lào Cai,730420,445164,517379,427378,944757,856325,933550
Lâm Đồng,1296606,901167,1093939,968513,2062452,1642299,1952774
Lạng Sơn,781655,558242,548121,524826,1072947,1017262,1117220
Nam Định,1780393,1272614,1171207,684357,1855564,2341610,1772560
Nghệ An,3327791,1960668,2166912,1573128,3740040,4267816,3900900
Ninh Bình,982487,695394,672173,619143,1291316,1279525,1239970
Ninh Thuận,590467,428346,482827,413353,896180,739091,892660
Phú Thọ,1463726,1029489,1086117,786554,1872671,1894260,1729400
Phú Yên,961152,616333,666763,533110,1199873,1171033,1108954
Quảng Bình,895430,611974,564748,465884,1030632,1135015,978810
Quảng Nam,1495812,1250469,1100843,864025,1964868,1966932,2149770
Quảng Ngãi,1231697,883502,849815,722399,1572214,1678654,1562604
Quảng Ninh,1320324,1013446,1091269,1027124,2118393,1778123,2121498
Quảng Trị,632375,463442,445561,360846,806407,786243,848182
Sóc Trăng,1199653,861361,996651,853419,1850070,1636586,2114660
Sơn La,1248415,792702,790954,395197,1186151,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8048485,6882709,14931194,13794299,14637020
Thanh Hóa,3640128,2605729,2504334,1870640,4374974,4794541,3877590
Thái Bình,1860447,1373070,1272565,945253,2217818,2526449,1893980
Thái Nguyên,1286751,938660,898666,574330,1472996,1693856,1271330
Thừa Thiên Huế,1128620,779911,854950,674936,1529886,1481288,1616626
Tiền Giang,1764185,1488385,1451568,1350896,2802464,2512418,2974320
Trà Vinh,1009168,734794,862442,556375,1418817,1396109,1353410
Tuyên Quang,784811,535735,541184,427676,968860,985752,930610
Tây Ninh,1169165,977624,949717,877968,1827685,1658187,2055900
Vĩnh Long,1022791,769026,855024,813389,1668413,1461149,1733130
Vĩnh Phúc,1154154,789896,840560,693459,1534019,1453409,1462250
Yên Bái,821030,510271,572141,481312,1053453,1039328,1034300
Điện Biên,598856,336229,383590,266885,650475,663416,629460
Đà Nẵng,1134310,885070,957249,926263,1883512,1571173,1720782
Đắk Lắk,1869322,1362176,1341681,830457,2172138,2317760,2100110
Đắk Nông,622168,404872,464250,388632,852882,723091,819420
Đồng Nai,3097107,2384309,2922023,2379741,5301764,4256053,5025430
Đồng Tháp,1599504,1181264,1244470,1159580,2404050,2244402,2705690
