COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2022-09-28,11881035.0,10929549.0,30.52,28.076,10245183.0,26.318,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-22,11.0,,
Albania,ALB,EURO,REPORTING,2022-09-18,2974247.0,1336938.0,103.4,46.977,1262982.0,44.378,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0,356077.0,12.512
Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442.0,7840131.0,34.817,17.879,6481186.0,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4.0,,
American Samoa,ASM,WPRO,REPORTING,2022-08-23,111316.0,44885.0,201.67,81.318,41423.0,75.046,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3.0,24160.0,43.77
Andorra,AND,EURO,REPORTING,2022-09-11,154235.0,57894.0,199.6,75.999,53480.0,70.205,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3.0,42861.0,56.265
Angola,AGO,AFRO,REPORTING,2022-09-04,22297104.0,14220830.0,67.842,43.269,7814121.0,23.776,SII - Covishield,2021-03-10,1.0,,
Anguilla,AIA,AMRO,REPORTING,2022-09-16,24102.0,10846.0,160.659,72.297,10314.0,68.751,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2.0,2942.0,19.611
Antigua and Barbuda,ATG,AMRO,REPORTING,2022-09-16,136512.0,64290.0,139.399,65.65,62384.0,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6.0,9838.0,10.046
Argentina,ARG,AMRO,REPORTING,2022-09-16,109277682.0,41285663.0,241.787,91.349,37803566.0,83.644,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7.0,30509440.0,67.505
Armenia,ARM,EURO,REPORTING,2022-05-22,2150112.0,1129669.0,72.6,38.123,985807.0,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-06-16,8.0,40725.0,1.374
Aruba,ABW,AMRO,REPORTING,2022-09-16,173306.0,89761.0,162.323,84.073,83545.0,78.251,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2.0,,
Australia,AUS,WPRO,REPORTING,2022-09-08,63280978.0,22427304.0,248.162,87.951,21766240.0,85.358,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-21,5.0,14227605.0,55.795
Austria,AUT,EURO,REPORTING,2022-09-18,19226645.0,6887651.0,216.0,77.483,6674397.0,74.984,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-30,6.0,5332319.0,59.907
Azerbaijan,AZE,EURO,REPORTING,2022-09-18,13742472.0,5402833.0,135.5,53.287,4869847.0,48.03,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,5.0,3469794.0,34.222
Bahamas,BHS,AMRO,REPORTING,2022-09-16,359002.0,172859.0,91.292,43.957,164305.0,41.782,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4.0,31626.0,8.042
Bahrain,BHR,EMRO,REPORTING,2022-09-28,3470831.0,1240586.0,203.978,72.908,1226026.0,72.052,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-04,11.0,1004219.0,59.017
Bangladesh,BGD,SEARO,REPORTING,2022-09-27,299180594.0,131733366.0,181.664,79.989,121787630.0,73.95,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-27,8.0,45659598.0,27.725
Barbados,BRB,AMRO,REPORTING,2022-09-16,374195.0,163445.0,130.211,56.875,154502.0,53.763,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-08,5.0,56248.0,19.573
Belarus,BLR,EURO,REPORTING,2022-09-18,15582410.0,6501526.0,164.9,68.804,6390796.0,67.632,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2021-02-03,4.0,2951428.0,31.234
Belgium,BEL,EURO,REPORTING,2022-09-18,25825455.0,9245845.0,224.1,80.242,9149729.0,79.408,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0,7200587.0,62.492
Belize,BLZ,AMRO,REPORTING,2022-09-16,499320.0,250546.0,125.575,63.01,219901.0,55.303,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5.0,50682.0,12.746
