COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2022-04-04,5872684.0,5188057.0,15.086,13.327,4532577.0,11.643,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,4.0,,
Albania,ALB,EURO,REPORTING,2022-04-03,2801184.0,1303431.0,97.3,45.799,1226522.0,43.097,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0,271231.0,9.53
Algeria,DZA,AFRO,REPORTING,2022-03-09,13704895.0,7461932.0,31.253,17.017,6110712.0,13.935,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4.0,490676.0,1.119
American Samoa,ASM,WPRO,REPORTING,2022-03-17,97346.0,43637.0,176.361,79.057,39137.0,70.904,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3.0,15135.0,27.42
Andorra,AND,EURO,REPORTING,2022-03-27,152187.0,57835.0,197.0,75.922,53389.0,70.085,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3.0,40963.0,53.773
Angola,AGO,AFRO,REPORTING,2022-03-25,17535411.0,11235059.0,53.354,34.184,5993792.0,18.237,SII - Covishield,2021-03-10,1.0,306560.0,0.933
Anguilla,AIA,AMRO,REPORTING,2022-04-01,22714.0,10572.0,151.406,70.471,9624.0,64.151,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2.0,2518.0,16.784
Antigua and Barbuda,ATG,AMRO,REPORTING,2022-04-01,135443.0,63918.0,138.307,65.27,61687.0,62.992,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6.0,9838.0,10.046
Argentina,ARG,AMRO,REPORTING,2022-04-01,96708705.0,40920561.0,213.977,90.541,36966697.0,81.792,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7.0,19126646.0,42.32
Armenia,ARM,EURO,REPORTING,2022-04-03,2141957.0,1128072.0,72.3,38.069,980101.0,33.075,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-06-16,7.0,39849.0,1.345
