COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407,2632.0,126.529,75.567,1775.0,50.962,AstraZeneca - AZD1222,,1.0
Saint Helena,SHN,AFRO,OWID,2021-05-05,7892,4361.0,129.995,71.833,3531.0,58.162,AstraZeneca - AZD1222,,1.0
Gibraltar,GIB,EURO,OWID,2022-01-07,108577,41199.0,322.273,122.285,40079.0,118.961,Pfizer BioNTech - Comirnaty,,1.0
Isle of Man,IMN,EURO,OWID,2022-01-09,182162,68966.0,214.228,81.106,65799.0,77.381,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Greenland,GRL,EURO,OWID,2022-01-04,78558,40469.0,138.375,71.283,38089.0,67.091,Moderna - mRNA-1273,,1.0
Faroe Islands,FRO,EURO,OWID,2022-01-09,99594,41512.0,203.815,84.952,40679.0,83.248,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
Jersey,JEY,EURO,OWID,2022-01-02,211427,81550.0,196.136,75.652,77133.0,71.555,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Liechtenstein,LIE,OTHER,OWID,2022-01-06,64609,26224.0,166.746,67.68,25689.0,66.299,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
Guernsey,GGY,EURO,OWID,2022-01-04,142792,,221.493,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Philippines,PHL,WPRO,REPORTING,2021-12-30,108534301,61066594.0,99.045,55.727,49626599.0,45.288,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,10.0
Nigeria,NGA,AFRO,REPORTING,2022-01-09,16694633,11738772.0,8.099,5.695,4785226.0,2.321,SII - Covishield,2021-03-05,1.0
Oman,OMN,EMRO,REPORTING,2021-12-26,6118018,3121894.0,119.805,61.134,2902254.0,56.833,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-12-29,5.0
Curaçao,CUW,AMRO,REPORTING,2022-01-07,225675,104817.0,137.529,63.877,96790.0,58.985,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3.0
Niue,NIU,WPRO,REPORTING,2021-08-02,2352,1202.0,145.365,74.289,1150.0,71.075,Pfizer BioNTech - Comirnaty,2021-06-08,1.0
Viet Nam,VNM,WPRO,REPORTING,2021-12-30,150935915,77555511.0,155.063,79.676,68435813.0,70.307,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-03-08,6.0
Seychelles,SYC,AFRO,REPORTING,2021-12-28,183472,82348.0,186.556,83.732,78263.0,79.578,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",2021-01-10,4.0
Thailand,THA,SEARO,REPORTING,2022-01-03,97482775,51310112.0,139.66,73.51,46172663.0,66.15,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-28,7.0
Panama,PAN,AMRO,REPORTING,2022-01-07,6410766,3129595.0,148.577,72.532,2820976.0,65.38,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2.0
