COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407,2632.0,126.529,75.567,1775.0,50.962,AstraZeneca - AZD1222,,1.0
Saint Helena,SHN,AFRO,OWID,2021-05-05,7892,4361.0,129.995,71.833,3531.0,58.162,AstraZeneca - AZD1222,,1.0
Isle of Man,IMN,EURO,OWID,2021-11-08,132859,68139.0,156.246,80.133,64720.0,76.113,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Gibraltar,GIB,EURO,OWID,2021-11-09,91990,40578.0,273.04,120.442,39814.0,118.174,Pfizer BioNTech - Comirnaty,,1.0
Greenland,GRL,EURO,OWID,2021-11-04,77383,40125.0,136.305,70.677,37258.0,65.627,Moderna - mRNA-1273,,1.0
Jersey,JEY,EURO,OWID,2021-11-03,174137,78978.0,161.543,73.266,74681.0,69.28,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Liechtenstein,LIE,OTHER,OWID,2021-11-09,49276,25363.0,127.174,65.458,24745.0,63.863,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
Guernsey,GGY,EURO,OWID,2021-11-08,103876,,161.128,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Faroe Islands,FRO,EURO,OWID,2021-11-05,78347,40205.0,160.334,82.278,38142.0,78.056,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
Philippines,PHL,WPRO,REPORTING,2021-10-28,58212187,35022949.0,53.122,31.961,26803677.0,24.46,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,10.0
Nigeria,NGA,AFRO,REPORTING,2021-11-08,8929327,5776679.0,4.332,2.802,3152648.0,1.529,SII - Covishield,2021-03-05,1.0
Oman,OMN,EMRO,REPORTING,2021-10-10,5271912,2962504.0,103.237,58.013,2309408.0,45.224,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-12-29,5.0
Curaçao,CUW,AMRO,REPORTING,2021-11-05,193784,101167.0,118.094,61.652,92617.0,56.442,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3.0
Niue,NIU,WPRO,REPORTING,2021-08-02,2352,1202.0,145.365,74.289,1150.0,71.075,Pfizer BioNTech - Comirnaty,2021-06-08,1.0
Viet Nam,VNM,WPRO,REPORTING,2021-10-28,78940403,55578783.0,81.099,57.098,23361620.0,24.0,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-03-08,6.0
Seychelles,SYC,AFRO,REPORTING,2021-11-08,170530,81375.0,173.396,82.743,76796.0,78.087,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",2021-01-10,4.0
Thailand,THA,SEARO,REPORTING,2021-11-08,77903147,43990610.0,111.609,63.024,33912537.0,48.585,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-28,7.0
Panama,PAN,AMRO,REPORTING,2021-11-05,5844266,3045960.0,135.448,70.594,2688131.0,62.301,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2.0
