COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,2021-11-14,4018197,3530173.0,10.322,9.068,3188609.0,8.191,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,4.0
Albania,ALB,EURO,REPORTING,2021-11-07,1943760,1037269.0,67.5,36.447,906491.0,31.852,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0
Algeria,DZA,AFRO,REPORTING,2021-11-13,11376816,6446373.0,25.944,14.701,4930443.0,11.244,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4.0
American Samoa,ASM,WPRO,REPORTING,2021-11-02,65535,35077.0,118.729,63.549,30862.0,55.912,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3.0
Andorra,AND,EURO,REPORTING,2021-10-31,104534,54999.0,135.3,72.199,49535.0,65.026,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3.0
Angola,AGO,AFRO,REPORTING,2021-11-11,7806481,5802574.0,23.752,17.655,2003907.0,6.097,SII - Covishield,2021-03-10,1.0
Anguilla,AIA,AMRO,REPORTING,2021-11-12,18782,9624.0,125.197,64.151,9158.0,61.045,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2.0
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-11-12,111186,58497.0,113.537,59.734,52689.0,53.803,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-19,6.0
Argentina,ARG,AMRO,REPORTING,2021-11-12,63030961,35629676.0,139.462,78.834,27090784.0,59.941,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7.0
Armenia,ARM,EURO,REPORTING,2021-10-31,831856,579360.0,28.1,19.552,252496.0,8.521,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Sinovac - CoronaVac",2021-06-16,5.0
Aruba,ABW,AMRO,REPORTING,2021-11-12,160369,83092.0,150.206,77.826,77277.0,72.38,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2.0
Australia,AUS,WPRO,REPORTING,2021-11-06,36707411,19286079.0,143.951,75.632,17237996.0,67.6,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-21,3.0
